,link,timestamp,title,text,classification
0,https://www.boatos.org/saude/video-vacuna-show-farsa-da-vacinacao-covid-19.html,2021-01-10 11:54:12-03:00,"Vídeo ""Vacuna Show"" (""Vacina Show"") mostra farsa da vacinação contra Covid-19 ",,1
1,https://www.boatos.org/saude/cadastro-conecte-sus-obrigatorio-vacinar-covid-19.html,2021-01-09 21:02:08-03:00,Cadastro do Conecte SUS será obrigatório para se vacinar contra Covid-19 ," Pessoal, todo mundo precisa se cadastrar no conectesus para vacinar. Sugiro fazer já. Provavelmente o site nao aguentará os acessos quando for o momento. https://conectesus-paciente.saude.gov.br/ É um cadastro no SUS. Quem tomou a vacina da Febre Amarela em 2018 já tem. Ou quem usou o SUS nos últimos anos. O aplicativo funciona mais ou menos como esses apps de carteira de motorista ou título de eleitor https://conectesus-paciente.saude.gov.br/",1
2,https://www.boatos.org/mundo/cristina-kirchner-tomou-vacina-covid-19-sem-agulha-mascara.html,2021-01-09 14:32:34-03:00,Cristina Kirchner tomou vacina da Covid-19 sem agulha e máscara ," A vice-presidente argentina, é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e, também, sem máscara. Nem a competente enfermeira, nem ela.  Pandemia e o teatro da esquerda continua. A vice-presidente da Argentina, Cristina Kirchnerm é a primeira mulher a ser vacinada sem agulha, sem agulha e sem luvas. Ah! E também sem máscara…",1
3,https://www.boatos.org/saude/gerson-camarotti-pediu-cassacao-registro-medicos-receitam-antivirais-contra-covid-19.html,2021-01-08 19:13:52-03:00,Gerson Camarotti pediu cassação do registro de médicos que receitam “antivirais” contra Covid-19 ,"  ESTE SAFADO ESTA PEDINDO PARA OS CONSELHOS TIRAREM OS CRMS DOS MÉDICOS QUE ESTÃO SALVANDO VIDAS. ESTE FDP É DA GLOBO É O GERSON CAMAROTTI. BOCA MALDITA “PRECISO DEIXAR REGISTRADO AQUI, QUE NO PROGRAMA “EM PAUTA” DESTA NOITE, O JORNALISTA GÉRSON CAMAROTTI DA GLOBO NEWS EXIGIU QUE, OS CONSELHOS DE MEDICINA CASSEM OS REGISTROS DOS MÉDICOS QUE, ESTÃO TRATANDO PACIENTES COM COVID, COM DROGAS ANTIVIRAIS, PORQUE ELAS NÃO CURAM! HÁ MAIS DE 20 ANOS OS PEDIATRAS USAM NITAZOXANIDA VERMÍFUGO, PARA TRATAR AS DIARRÉIAS PELO ROTAVÍRUS, PORQUE ELA TEM AÇÃO ANTIVIRAL E ÊSTE ANO TRABALHOS PROVARAM QUE INIBE A ENTRADA DO VÍRUS COVID 19 NAS CÉLULAS HUMANAS.  OS ANTIVIRAIS TAMBÉM SÃO USADOS NO HIV, APESAR DE NÃO CURAR O AIDS. *NÓS MÉDICOS NÃO SOMOS CHARLATÃES, E NÃO SERÃO OS JORNALISTAS DA GLOBO NEWS QUE DARÃO ORDENS NO CONSELHO FEDERAL DE MEDICINA! NÓS, MÉDICOS, CONTINUAREMOS A TRATAR SINTOMATICAMENTE TODAS AS VIROSES, REDUZINDO A CARGA VIRAL NO ORGANISMO COM ESTAS DROGAS, E ISTO NÃO É UM ATO POLÍTICO BOLSONARISTA, COMO DISSE CAMAROTTI E SIM UM ATO MÉDICO! ACREDITO QUE CHARLATÃO PARA SER CASSADO O REGISTRO SE ENQUADRA BEM EM JORNALISTAS QUE SÃO PAGOS PARA SEREM FRANCO ATIRADORES DE FAKE NEWS E INFLUENCIAREM POLITICAMENTE AS MASSAS ATRAVÉS DA MÍDIA! EM RELAÇÃO ÀS VACINAS,VEICULAM AS MAIORES BARBARIDADES SEMPRE USANDO FAKES CONTRA O GOVERNO. POR QUE NÃO SE DIRIGEM À ANVISA E OS LABORATÓRIOS?  PORQUE A INTENÇÃO DA GLOBO É APENAS DE USAR O GOVERNO COMO BODE EXPIATÓRIO PARA TUDO, INCLUSIVE COLOCANDO O MÉXICO ACIMA DO BRASIL PORQUE JÁ ESTÁ “VACINANDO”, APESAR DE ELES ESTAREM NA FASE 1 COM 1300 VOLUNTÁRIOS E O BRASIL TER TERMINADO A FASE 3 ESTA SEMANA COM 13000 VOLUNTÁRIOS. […]",1
4,https://www.boatos.org/saude/secretario-saude-minas-gerais-mensagem-chegamos-ao-pico.html,2021-01-08 16:33:39-03:00,Secretário de Saúde de Minas Gerais escreve mensagem “Chegamos ao Pico” ," Mensagem do Secretário Estado Saúde de Minas Gerais, recebida as 8h45 de hoje, 06/01/2021 *CHEGAMOS AO PICO* Irmãos, amigos, familiares, enfim – todos. Pelo que os especialistas afirmam, a partir de amanhã teremos, no mínimo 30 dias difíceis, de muita dor, de muitas perdas e só temos um remédio para tentar diminuir tudo isso – realizando de forma séria e muito cuidadosa o isolamento social. Portanto, conversem com os amigos e familiares, não faça visitas… Não coloquem a vida de parentes e amigos em riscos. O contágio é gigantesco e pode vir no ar… Tosse… Espirro… Solas de sapatos…. Sacolas de supermercados… Embalagens etc.  Vamos juntos vencer esse vírus. Tudo isso vai passar, mas precisamos fazer que passe sem tantas perdas e sofrimento. Vamos fazer uma grande campanha a partir de agora. Compartilhe e envie essa mensagem para todos os seus amigos e familiares. Vamos ter nos próximos dias a maior taxa de isolamento social do Brasil. Juntos somos mais fortes… Não esqueça.. Envie agora mesmo esta mensagem em todas as redes sociais… Cuidem da higiene pessoal… Lavem as mãos sempre e evitem tocar no rosto. Fé em Deus! Esperamos que depois disso, que tudo passar, possamos voltar melhores… Muita coisa precisa mudar dentro de nós e no mundo! Mensagem do Secretário Estado Saúde: *CHEGAMOS AO PICO*",1
5,https://www.boatos.org/mundo/presidente-pais-leste-europeu-vacinou-sem-agulha.html,2021-01-07 17:51:58-03:00,Presidente de país do Leste Europeu se vacinou sem agulha ," OLHEM ISSO, OS GOVERNANTES COMO SEU DÓRIA, ESTÃO FECHADOS COM AS INDÚSTRIAS FARMACÊUTICAS E QUEREM EMPURRAR A QUALQUER CUSTO A VACINA NA POPULAÇÃO. Para estimular o população à vacinar, o presidente de um dos países do leste europeu foi o 1º. Só que esqueceram de por a agulha, a vacina e de apertar. Cada vez mas acho que Bolsonaro está certo.",1
6,https://www.boatos.org/mundo/enfermeira-khalilah-mitchell-paralisia-facial-vacina.html,2021-01-07 00:16:12-03:00,Enfermeira Khalilah Mitchell teve paralisia facial após tomar vacina ," “Esta enfermeira registrada de Nashville está com paralisia facial há 13 dias após de ter tomado a vacina. Ela diz: “Eu acho que essa é a pior coisa de sempre. Eu não a daria para o meu pior inimigo. Eles não se importam conosco, por favor América, não tome essa vacina.",1
7,https://www.boatos.org/mundo/enfermeira-khalilah-mitchell-paralisia-facial-vacina.html,2021-01-07 00:16:12-03:00,Enfermeira Khalilah Mitchell teve paralisia facial após tomar vacina , “Enfermeira do Tenesse -Estados Unidos -tomou a “vacina” está com paralisia facial há 3 dias. E diz “ essa é a pior vacina do mundo,1
8,https://www.boatos.org/mundo/enfermeira-khalilah-mitchell-paralisia-facial-vacina.html,2021-01-07 00:16:12-03:00,Enfermeira Khalilah Mitchell teve paralisia facial após tomar vacina , “Enfermeira Americana tomou a vacina e esta implorando para nao tomarmos!! Ela teve paralisia facial e parece que esse efeito colateral esta sendo bem comum!,1
9,https://www.boatos.org/mundo/enfermeira-khalilah-mitchell-paralisia-facial-vacina.html,2021-01-07 00:16:12-03:00,Enfermeira Khalilah Mitchell teve paralisia facial após tomar vacina ,,1
