,link,datePublished,dateModified,title,text,linkImage,classification
0,https://www.saude.gov.br/component/content/article/1361-fake-news/47028-declaracao-ministro-pazuello-sobre-atestados-de-obitos-e-fake-news,2020-06-08 17:45:47,2020-06-08 17:45:47,Declaração ministro Pazuello sobre atestados de óbitos ,"RASIL SAHDEADVERTS TÉRIO, ISTO É Atestado de óbitos não poderão mais notificar suspeita de Covid-19"". Terão que fazer a contra- FAKE ESTANOTICIAS FALSA - HAO DULGS NEWS! prova e constar apenas com o devido resultado positivo, a farra vai acabar, Porquerefalso Oministro interino dai Saude Eduardo Pazuellojnao manitestout essa declaracao enaorpossuicontas emredessociais.o perfil com amensagem.e lake 1YA ADVERTE ",https://www.saude.gov.br/images/jpg/2020/June/08/fake01.jpg,1
1,https://www.saude.gov.br/component/content/article/1361-fake-news/46967-vacina-da-gripe-aumenta-risco-de-adoecer-por-coronavirus-e-fake-news,2020-05-28 11:34:22,2020-05-28 11:34:22,Vacina da gripe aumenta risco de adoecer por coronavírus ,Influenza vaccination and respiratory virus interference among Department of Defense personnel during the 2017-2018 influenza season. - A SADDE A PubMed - NCBI ISTO É Vacina contra a gripe aumenta o risco de complicações relacionadas ao Coronavírus FAKE em 36% NEWS! Resumo : tomar vacina agora pode Aumentr em 36% ambiente pra covid19 https://www.ncbi.nlm.nih.gov/pubmed/31 607599 Por que é falso? nam a vacina ce inluenza com NEO exiSTem estudios que Correlaci O risco de adoeÇimento ou conmpiceções pelo Covid 18. ADVERTE MIMISTERIO ,https://www.saude.gov.br/images/jpg/2020/May/28/fake1.jpg,1
2,https://www.saude.gov.br/component/content/article/1361-fake-news/46779-mascaras-sem-qualidade-distribuidas-pelo-ministerio-da-saude-e-fake-news,2020-04-24 14:29:47,2020-04-24 14:29:47,Máscaras sem qualidade distribuídas pelo Ministério da Saúde ,"ISTO É FAKE NEWS! Por que é falso? A máscaru aprsentada no violec rão Foi COmprada peto Mitstarte.da A prouerio doOS proftesionats die saúde prioridacie do Ministério da Saúde, Le estabelecE QUe as másGaras dnrgices devENT ter três camadas e Theragam minima de particutas de DEADVERTS ESTA NOTICIA É FALSA - AO DULOUS ANISTERIO ",https://www.saude.gov.br/images/jpg/2020/April/24/fake06.jpg,1
3,https://www.saude.gov.br/component/content/article/1361-fake-news/46778-software-das-upas-obrigam-registro-de-coronavirus-e-fake-news,2020-04-24 14:28:27,2020-04-24 14:28:27,Software das UPAS obrigam registro de coronavírus ,"Enfermeiras de UPAS denunciam que novo software do SUS. para registrar se pacientes tem sintomas de Covidi9, não aceita registrar o NÃO. apenas o SIM. Atė pacientes com queimaduras são registrados como Covidi9 Com a chegada do frio querem disparar on' de mortes. DA. SAUD ISTO É FAKE NEWS! Todas as orientações do Ministerio da Saude Sobre obitosrelacionados ao.coronavirus (COVID 19) estao disponiveis na publicação Manejo de corpos.no contexto dar COVID 19 De acot do coma publicacão o atestado de Obito e fornecido.pelo cartorio,a partr da. declaração de obito fornecida palomedico que assistiu o paciente. FALSA SEADVSRTS MINISTERIO ESTA NOTYCH ",https://www.saude.gov.br/images/jpg/2020/April/24/fake05.jpg,1
4,https://www.saude.gov.br/component/content/article/1361-fake-news/46777-mascaras-de-doacao-da-china-sao-contaminadas-com-coronavirus-e-fake-news,2020-04-24 14:27:06,2020-04-24 14:27:06,Máscaras de doação da China são contaminadas com coronavírus ,AIDE ADVERTE 16 51 0:00 / 4:58 ISTO É FAKE 1651 Máscaras de doação da China contaminadas com corona virus NEWS! Rorgueealso OMinisterio da Saude afima que nào hạ nenhuma evidencia que Iprodutos enviados da china para o Brasiltragam o coronavirus (COVIDA19 RMISTERIO ESTA HOC ,https://www.saude.gov.br/images/jpg/2020/April/24/fake04.jpg,1
5,https://www.saude.gov.br/component/content/article/1361-fake-news/46776-numero-de-obitos-por-covid-e-de-946-e-fake-news,2020-04-24 14:17:28,2020-04-24 14:17:28,Número de óbitos por COVID é de 946 ,NÚMERO DE ÓBITOS NO BRASIL DE JANEIRO A MARÇO DE 2020 ÉRIO DA SAUDE AUVERTE - PORTAL DATA-SUS - COVID-19 (até 10. abril) ISTO É 946 Do. Cardíacas 41.425 FAKE Do. Cerebro Vasculares IVAS ( gripes) 29.308 NEWS! 20.712 Alzheimer e suas complic. 18.123 D. Banco /Cardio Pulmonares ALSA - HAO DMLGU 15.534 i Vialència 14.449 Diakketes 12.945 Porgue efálso OMinisterio da Saude informa os idadossde monalidade no SUS são publicados acada dois anosISSo Significa que as intormacoes mais Hrecentes aue estãordisponiveissao de 2018 Nenhum dadoreferente a 2019 lout2020 fordivelgado ate omonmento Trânsita 10.356 Ba. Rennis 8.285 Cirrase 7 763 - - HNSTERRO ESTA HOTICA ,https://www.saude.gov.br/images/jpg/2020/April/24/fake03.jpg,1
6,https://www.saude.gov.br/component/content/article/1361-fake-news/46705-cafe-previne-o-coronavirus-e-fake-news,2020-04-10 10:07:05,2020-04-10 10:07:05,Café previne o coronavírus ,"Últimas Notícias da CNN: -* BADEADVERTE * Dr. Li Wenliang *, o médico herói da China, que foi punido por dizer a verdade sobre o vírus Corona e depois morreu devido mesma doença, havia documentado arquivos de casos para fins de pesquisa e nos arquivos propuseram uma cura que diminuiria significativamente o impacto do COVID - 19 Vírus no corpo humano. A substância quimica *M yixanthine* Theobromine * e* Theophylline * estimulam compostos que podem afastar esses virus em huma sistema imunológico médio. O mais chocante é que essas palavras complexas que eram tão dific pessoas na China são chamadas de * CAFÉ * na india, SIM, nosso CAFÉ regular possui todos esses principal metixantina no café é a cafeína estimulante. Outras metilxantinas encontradas no COFFEE quimicamente similares, Teobromina e Teofilina. A planta do CAFÉ cria esses produtos químicos com uma manelro Insetos e outros animais. Quem diria que toda a solução para esse vírus seria uma simples xicara de café e essa é a ra qual tantos pacientes na China estão sendo curados. A equipe do hospital na China começou a servir o CAFÉ aos pacie vezes ao dia, e o efeito está finalmente em * Wuhan * ""O centro desta pandemia"" fol contido e a transmissão da comut alo menos um ISTO É FAKE NEWS! 等 AESALSA。 quase parou. Compartihe esta mensagem com seus amigos e familiares para conscientizá-los sobre essa bênção na forma de CAFÉ em suk |cozinha. ;Tradutor google. OPorquele falsoR MUitas pesquisas estao sendo desenvolvidas para o combate ao Goronavirusi(COVID19) entretanto ate oomento nao ha nenhum medicamento substanda vitamina alimento especifico ourvacina lque possalprevenina inteccaofeelo coronavirus (COVID 19) AMISTERIO B ",https://www.saude.gov.br/images/jpg/2020/April/10/fake3.jpg,1
7,https://www.saude.gov.br/component/content/article/1361-fake-news/46704-fumar-aumenta-o-risco-da-forma-grave-de-coronavirus-e-verdade,2020-04-10 10:04:22,2020-04-10 10:04:22,Fumar aumenta o risco da forma grave de coronavírus ,"C VID19 DA TERIO, ESTA Para se proteger do novo coronavírus, parar de fumar é uma medida tão importante quanto lavar as mãos com água e sabão. Sabe por quê? NOTÍCIA É VERDADEIRA, Além de fazer muito mal à saúde, fumar eleva substancialmente o risco de desenvolver a forma grave da doença causada pelo novo coronavírus, a COVID-19. Desta forma, todas as pessoas que fumam, mesmo aquelas que não são idosas e não possuem nenhum outro problema de saúde, podem se considerar dentro do grupo de risco. COMPA Agora é o momento certo para largar o cigarro. Faça isso por você e pelas pessoas que você ama. Clique nesta imagem para saber como obter ajuda. Eumaraumenta orisco de desenvolver aforma grave do coronavirus (COVD 19). ASpessoas que fumam. fazem parte do grupo.de: ОPAS opezuebio Organizaco Mundial da Sade Pan Americana da Saude FISCO ADVE ",https://www.saude.gov.br/images/jpg/2020/April/10/fake2.jpg,0
8,https://www.saude.gov.br/component/content/article/1361-fake-news/46703-alimentos-alcalinos-evitam-coronavirus-e-fake-news,2020-04-10 10:01:38,2020-04-10 10:01:38,Alimentos alcalinos evitam coronavírus ,"Isso serve para informar a todos que o pH do virus corona varia de 5,5 a 8,5. * PESQUISA: REVISTA DE VIROLOGIA, MARÇO DE 2020, PÁGINA 19 Tudo o que precisamos fazer, para vencer o vírus corona, precisamos ingerir mais alimentos alcalinos que estão acima do nivel de pH acima do virus. SADDE Alguns dos quais são: Limão - 9,9pH ISTO É Abacate - 15,6pH Alho - 13,2pH FAKE Manga -8,7pH Tangerina - 8,5pH NEWS! Abacaxi - 12,7pH PALSK- Dente de leão - 22,7pH Laranja - 9,2pH Não guarde essas informações apenas para si mesmo. Passe para todos. Porque e falsORE Até o momento nãoha nenhum medicamento substancia, Vitamina, alimento espeGLLIco OU vacinaque possa prevenira inteccão belo CoFonavirus COVID 19), ADVERTS HINISTERIO ",https://www.saude.gov.br/images/jpg/2020/April/10/fake1.jpg,1
9,https://www.saude.gov.br/component/content/article/1361-fake-news/46673-medicamento-para-covid-19-e-fake-news,2020-04-07 16:11:12,2020-04-07 16:11:12,Medicamento para COVID-19 ,"COVID-19 IgM/lgG sam COVID 1M ISTO É M6OVO N FAKE NEWS! FALSA- D 0:00 / 1:31 Porgue eälso Ate oimomento não há nenhummedicamento substancia, Vitamina, alimento especifico ou vacina que possa coronavirus (COVID 19), revenir alinfeccao pelo EADVERTE BAINISTERIO 000 ",https://www.saude.gov.br/images/jpg/2020/April/07/fake01.jpg,1
